Ns, value
12600, -104.46
12604, -104.49
12608, -104.46
12612, -104.85
12616, -104.71
12620, -104.66
12624, -104.65
12628, -104.68
12632, -105.42
12636, -104.70
12640, -104.37
12644, -104.50
12648, -104.46
12652, -104.88
12656, -104.57
12660, -104.80
12664, -105.26
12668, -104.53
12672, -104.74
12676, -104.48
12680, -104.05
12684, -104.98
12688, -105.01
12692, -104.38
12696, -105.07
12700, -104.52
12704, -104.62
12708, -104.53
12712, -104.62
12716, -104.48
12720, -104.59
12724, -104.50
12728, -104.74
12732, -104.36
12736, -104.50
12740, -104.46
12744, -104.77
12748, -104.40
12752, -104.77
12756, -104.82
12760, -105.02
12764, -105.06
12768, -104.90
12772, -104.32
12776, -104.94
12780, -104.66
12784, -104.58
12788, -104.98
Current Ns value: 12792
