Ns, value
8000, -99.50
8100, -93.14
8200, -100.28
8300, -91.72
8400, -95.20
8500, -94.11
8600, -101.53
8700, -93.56
8800, -101.74
8900, -101.96
9000, -102.56
9100, -100.54
9200, -98.71
9300, -100.84
9400, -97.82
9500, -96.98
9600, -98.89
9700, -98.07
9800, -97.70
9900, -100.36
10000, -101.02
10100, -101.27
10200, -100.86
10300, -101.05
10400, -102.08
10500, -101.07
10600, -103.24
10700, -103.61
10800, -104.33
10900, -104.05
11000, -103.90
11100, -103.58
11200, -102.59
11300, -103.98
11400, -104.32
11500, -104.21
11600, -103.99
11700, -92.29
11800, -98.21
11900, -104.15
12000, -104.48
12100, -104.29
12200, -104.32
12300, -101.55
12400, -103.83
12500, -102.15
12600, -102.66
12700, -102.70
12800, -103.67
12900, -102.39
13000, -102.33
13100, -102.88
13200, -99.24
13300, -103.29
13400, -103.41
13500, -103.45
13600, -102.67
13700, -102.95
13800, -101.87
13900, -103.08
14000, -102.97
14100, -102.64
14200, -102.14
14300, -101.88
14400, -101.34
14500, -96.83
14600, -93.97
14700, -98.49
14800, -99.65
14900, -98.93
15000, -97.35
15100, -97.01
15200, -100.58
15300, -100.83
15400, -98.83
15500, -101.14
15600, -101.35
1570, -99.45
